Matchup,Market_Odds
Georgia Southern @ Louisiana Monroe,155.5
Princeton @ Cornell,155.5
Kent St. @ Akron,162.5
IU Indy @ Youngstown St.,150.5
Siena @ Niagara,121.5
Harvard @ Brown,126.5
Dartmouth @ Yale,148.5
Penn @ Columbia,145.5
Marist @ Canisius,120.5
Fairfield @ Iona,142.5
Cleveland St. @ Green Bay,146.5
Rice @ Charlotte,135.2
Northern Kentucky @ Detroit Mercy,154.5
Rider @ Manhattan,137.5
Sacred Heart @ Quinnipiac,149.5
Providence @ Villanova,149.5
Mount St. Mary's @ Saint Peter's,130.5
Michigan @ Michigan St.,139.5
Wright St. @ Milwaukee,143.5
Dayton @ Saint Louis,143.5
Boise St. @ Grand Canyon,133.5
Loyola Chicago @ VCU,144.5
UNLV @ Nevada,140.5
