Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
361,Gardner Webb,BSth,14,1-13,95.9,123.2,0.0535,50,55.8,19.5,15.5,22,37.5,30,40,51.5,57.4,31.7,35.6,38.6,39.4,69.6,-11.3
349,North Alabama,ASun,16,3-13,100,121,0.1008,50.1,58,17.5,14.8,30.5,30.3,39.2,29.4,52.2,58.6,30.6,38.1,33.8,44.3,65.4,-11.4
365,Mississippi Valley St.,SWAC,14,1-13,89.3,120.8,0.03,45.7,54.2,19.2,19.2,25.3,33.6,36.4,51.3,45.7,53.5,30.5,36.8,30.3,38.5,67.1,-12.3
280,IU Indy,Horz,18,3-15,105.6,115.6,0.2617,51.1,57.3,14.9,19,29.9,34.6,22.5,47.7,54.7,56.4,30.4,39.3,40.3,37.3,71.4,-12.5
348,Canisius,MAAC,18,4-14,94.8,114.5,0.1024,45.5,52.8,18.1,16.8,30.6,29.2,29.8,35,43.5,52.7,32.2,35.3,41.6,40.8,65.2,-12.5
341,Niagara,MAAC,18,4-14,97.7,116.5,0.1168,51.2,51.3,19.1,15.7,25.1,32.9,23.2,29.3,50.7,52.2,34.6,33.2,40.7,38.1,62.2,-12.6
335,Southern Indiana,OVC,18,4-14,96.1,113.2,0.1312,44,48.7,18.4,17.3,33.6,35.1,38.1,36,41.9,48.1,31.5,33.5,39.6,25.3,66.7,-12.9
339,Louisiana Monroe,SB,16,1-15,101.9,121.2,0.1202,48.3,57,17.5,16,26.5,35,38.5,28.1,46.6,59.6,33.9,35.8,41.3,44.2,71.1,-13.2
356,Rider,MAAC,18,3-15,98.9,122.2,0.0805,45.6,55.3,15.3,15.9,33.8,33,29.9,29.5,45.2,53.5,31.1,38.6,25.5,40.5,65.5,-13.4
360,VMI,SC,16,1-15,96.7,123.9,0.0549,47.8,57.1,14.9,15.4,22.8,35.5,28.3,37.1,46.6,59.5,32.6,36.4,53.9,48.9,67.5,-13.5
363,Western Illinois,OVC,18,1-17,92.5,122.5,0.038,44.9,53.7,16.9,15.1,25.8,36,37.9,35.6,44.3,54,30.7,35.3,33.7,31.3,67.9,-15.9
69,Wake Forest,ACC,14,5-9,118.2,106.9,0.7615,52.5,54.7,14.7,16.7,25.5,34.9,32.1,36.7,53.8,55.5,34,35.8,46.2,45.2,67.4,-2
94,Utah Valley,WAC,14,10-4,111.5,104.2,0.6845,53.5,49.5,20.4,23.1,37.2,32.1,38,40.3,56.6,46.4,31,37.8,37.8,30.9,69.9,-2
159,Charleston,CAA,16,12-4,105.3,104.6,0.5182,51.2,46.4,16.6,13.9,28.7,31.1,38,24.8,53.5,48.3,31.3,29.2,35.9,42.7,69.1,-2
109,UNLV,MWC,16,9-7,116.6,110.7,0.6431,55,53.7,16.5,16.8,30.5,29.7,38.4,45,53.7,50.5,38.3,39.8,35.9,34.8,69.3,-2.1
138,Bradley,MVC,18,12-6,111.6,109,0.5674,50.5,52.5,12.9,17.1,27.3,27.2,33.5,35.8,47.1,52.6,37.2,34.9,38.9,40.8,68,-2.1
47,Washington,B10,16,5-11,119.6,103.5,0.8409,52.1,52.6,16.5,13,33.3,29.9,23.7,32,54.7,52.8,31.6,34.9,35.6,38,65.9,-2.2
70,Syracuse,ACC,15,6-9,116.9,105.9,0.7577,53.3,53.5,16.5,15,27.8,32.5,32,36.6,53.8,54.5,34.9,34.4,35.9,34.8,68.8,-2.2
79,Boise St.,MWC,16,8-8,118,108.2,0.7315,53.5,55.2,16.2,14.1,31.1,25.1,43.8,32.3,54.9,54.1,34.4,38,44.5,37.1,65.9,-2.2
84,Stanford,ACC,14,5-9,111.6,102.6,0.724,48.6,50.1,15.7,16,29.8,33.3,28.6,41.8,47.7,51.4,33.1,31.7,47.3,34.2,65.8,-2.2
129,Cal St. Northridge,BW,16,11-5,110,106.2,0.5985,52.6,50.3,16.1,17.8,32.3,27.1,35.7,34.8,52.7,48.3,34.9,35,30.7,48.5,73.8,-2.2
142,Utah Tech,WAC,15,10-5,112.4,110.3,0.5543,53.4,47.6,17,16.7,30.2,35.7,29.8,32.2,51.2,51.1,38.1,27.1,37.1,32.9,66.9,-2.3
253,LIU,NEC,16,13-3,101.6,108.7,0.3166,52.6,47.9,18.5,19.1,35.3,28.5,30.4,33.9,52.8,48.6,34.7,31,28.9,33,67.9,-2.3
66,Baylor,B12,14,4-10,115.8,103.8,0.7786,51.6,52.6,18.8,15.2,32.9,32.6,32.8,31.7,52.2,52.6,33.8,35.1,41.7,35.9,67.8,-2.4
122,Cal Baptist,WAC,14,9-5,104.6,100.4,0.6158,46.2,45.3,19,15.5,36.8,27.4,37,35.4,44.8,46.1,32.8,29,31.6,30.4,65.2,-2.4
202,Bethune Cookman,SWAC,15,12-3,103.4,105.6,0.4406,54,44.2,19.4,15.9,32.9,26.6,47.9,37.8,55.3,46,34,26.9,30.2,32.1,69.8,-2.4
100,UC Irvine,BW,16,11-5,105.6,99.2,0.6703,51.3,43.8,18.2,17.5,32.2,30.5,33,26.7,49.5,40.9,37.4,32.4,27.3,37.8,69.1,-2.5
106,Duquesne,A10,14,8-6,111.9,105.8,0.6577,51.6,51.6,16.5,17.6,28.7,30.4,39.7,38.8,50.8,52.1,35.1,33.9,44.9,40.9,68.7,-2.5
111,Colorado St.,MWC,16,8-8,115.5,109.8,0.6419,54.3,53.8,19.2,15.7,30.7,30.1,42.1,36,55.3,52.4,35.6,37.1,48.1,42.8,63.5,-2.5
114,Hawaii,BW,16,11-5,106.1,101.1,0.635,51.7,47,19.1,16.7,30.8,25.9,40.3,33.8,53.9,49.3,32.4,27.9,41,30.4,70,-2.5
140,UAB,Amer,15,9-6,106.7,104.5,0.5616,46.3,49.9,12,16.2,29.9,29.9,37.4,27.9,47.9,51.8,28.3,31.3,30.4,39.1,69.9,-2.5
78,DePaul,BE,16,6-10,108.9,99.8,0.7331,48.7,51.4,18,17.2,31.2,30.5,30.4,38.4,49.9,47.4,31.2,39.2,38.6,35.1,65.8,-2.6
104,Oklahoma St.,B12,14,4-10,112.3,106,0.6599,49.2,54.4,15.9,16.3,28.4,33.3,36.6,32.3,48.3,52.8,33.7,37.9,37.9,39.5,71.3,-2.6
120,Sam Houston St.,CUSA,16,11-5,112.8,107.9,0.6236,53.1,50.2,17,15.2,33.5,29.1,34.8,32.2,51.4,50.3,37.4,33.3,35.9,39.1,70.7,-2.6
137,St. Thomas,Sum,14,10-4,115.6,112.6,0.574,62.5,51.2,13.9,15.8,25.1,27.9,38.7,30.7,64.2,54.1,40.3,31.4,46.2,40.9,69.9,-2.6
351,Morgan St.,MEAC,10,7-3,98.8,119.9,0.0972,47.8,47.3,17.2,17.5,31.5,35.3,46.1,49.2,46.6,49.7,33.2,27.2,36.8,26.9,72.9,-2.6
81,Mississippi,SEC,14,3-11,114.9,105.4,0.7288,48.4,53.7,12.1,15,26,35.7,30.5,46,48.7,56,31.9,34,37.1,44.8,66.8,-2.7
177,Howard,MEAC,11,8-3,103,103.6,0.4844,52.4,44,20.5,23.1,42.5,29.6,45.4,35.3,54.2,43.3,32.5,30.3,33.9,32.6,70.6,-2.8
74,Illinois Chicago,MVC,18,11-7,110.5,100.5,0.7475,50.4,49,17,20.6,35.7,29.2,31.6,31.9,50.8,50.2,33.1,31.8,31.9,47,66,-3
97,South Carolina,SEC,14,3-11,112.4,105.5,0.6756,47.7,54.5,13.4,14.7,23.9,36.1,36.3,36.3,48.7,57.2,30.8,33.6,39.1,40.4,67.4,-3
116,Wright St.,Horz,18,13-5,114.4,109.3,0.6266,55.4,53.4,16.5,15.8,34.4,28.4,43.2,30.3,56.3,53.9,35.6,35,32.5,33.8,67.8,-3
135,Murray St.,MVC,19,12-7,115.9,112.7,0.5781,52.2,53.9,16.1,15.9,31.2,30,37.1,32,54.9,52.4,32.5,38.3,43.8,29.2,71.6,-3
191,Queens,ASun,16,12-4,114,115.8,0.4553,57.9,53.6,13.4,15.9,30.4,28.9,39,40.5,61.5,53.7,35.8,35.7,46.1,38.3,70.7,-3
54,Oklahoma,SEC,14,3-11,122.6,108.2,0.8068,51.9,54.4,15.7,13.2,31.6,35.9,36.3,38,49.8,57.4,36.4,33.1,43.1,38.6,66.6,-3.1
121,Rutgers,B10,16,4-12,114.6,109.8,0.6189,48.3,57,14.3,15.2,28.5,34.3,30.1,32.6,48,56,32.5,38.9,35.4,42,66,-3.1
166,Penn,Ivy,11,6-5,105.4,105.3,0.502,49.8,53.3,14.2,18.4,30.7,29.9,37.9,27.9,46.9,54.7,37.3,34.1,33.1,39.5,68.5,-3.2
125,Maryland,B10,16,4-12,112.9,108.8,0.6045,48.4,57.6,18.2,12.7,34.1,28.8,33.1,38,48.9,56.7,31.9,39.2,46.7,42.3,65.9,-3.3
143,Tulane,Amer,14,8-6,107.6,105.7,0.552,51.1,47.2,16.4,17.7,22.3,35.5,43,40.4,49.6,48.7,35.2,29.8,46,37,68.6,-3.3
264,NJIT,AE,14,10-4,104.5,113.1,0.2869,50.6,48.2,12.3,17,28.7,28.1,36.5,43.8,51.6,50,32.4,30.2,34.8,39.3,67.6,-3.3
192,Charlotte,Amer,14,8-6,112.2,114,0.4545,55,50.4,18.4,13.2,33.1,33,36,37.1,55.8,50.2,36,33.7,44.6,40.1,64.7,-3.4
204,Oregon St.,WCC,16,8-8,108.1,110.5,0.4356,48.9,51.5,16.9,14.9,26.6,30.6,42.8,37.9,44.7,52.2,36.6,33.7,41.6,41,65.5,-3.4
273,Vermont,AE,14,10-4,103.3,112.8,0.2679,53.5,47.9,14.1,14.7,25.6,20.5,31.3,36.2,55,44.7,34.3,35.1,43.6,40.6,65.6,-3.4
58,Providence,BE,16,5-11,123.4,110,0.7892,53.9,51.9,17.6,11.1,34.8,31.7,41,37.1,54.6,51.3,35.3,35.3,40,37.5,71.3,-3.5
86,Butler,BE,17,6-11,117.9,109.3,0.705,48.4,55.9,14.6,14.6,32.4,33.2,42.1,27.3,49.2,58.3,31.2,34.9,34.8,40.6,67.6,-3.5
245,North Dakota,Sum,15,10-5,112.3,119.1,0.3378,52.6,57.3,12.5,18.8,31.7,31.9,39,42.1,51.2,56.2,36.6,39.1,39.5,42.4,67.5,-3.5
99,Davidson,A10,14,7-7,112.1,105.3,0.6713,52.9,51.9,16.1,17.8,30.2,32.6,27.7,36.3,51.3,53.4,36.5,33,44.9,39.6,62.7,-3.6
127,Valparaiso,MVC,18,10-8,110.3,106.3,0.6031,48.7,52.1,15.4,16.4,31.9,28.5,40.7,33.7,46.3,53.6,35.6,32.9,33.9,36.1,65.2,-3.7
128,Eastern Washington,BSky,15,9-6,112.9,109,0.6018,53.6,50.1,17.3,15.5,32.6,30.5,37.6,40.6,51.1,52.8,39,30.4,33.1,37.6,67.4,-3.7
133,Memphis,Amer,14,7-7,103.8,100.6,0.5894,49.7,46.5,20,20.4,33.1,34.8,31.7,41.4,50.5,51,32.2,27.1,34.7,43.6,70.8,-3.7
238,Lipscomb,ASun,16,11-5,105.9,111.4,0.3568,56.7,52.4,15.3,17,26.6,28.7,26.9,27.7,56.1,53.7,38.2,33.8,46.4,41.2,69.2,-3.7
334,Norfolk St.,MEAC,11,7-4,102,119.7,0.1367,54.4,50.7,20.1,22.2,34,33.5,53.8,47.9,53.7,52.9,37.3,31.4,32.2,38.2,69.9,-3.7
67,Georgetown,BE,16,5-11,115.3,103.3,0.7784,48.7,50,16.9,15,34.4,34,37.6,33.4,47.5,51.3,34.1,32.1,34.9,41.6,66,-3.8
83,Northwestern,B10,16,3-13,114.8,105.5,0.7254,48.4,54.1,13,15.6,25.1,35.2,30.1,37.8,48.9,54.2,31.7,35.9,35.5,39.3,66.4,-3.8
87,Hofstra,CAA,16,10-6,114.6,106.3,0.7033,51.6,45.5,14.8,13.2,34.6,30.2,31,34.5,47.6,44,37.7,31.8,44.7,40.2,64.8,-3.8
102,Xavier,BE,16,5-11,114.8,108,0.6691,52.1,54.6,15.3,14.3,25.3,30.7,23.8,35.3,50.7,54.9,36.2,36,38.4,36.8,71.7,-3.8
147,Montana St.,BSky,15,9-6,110.2,108.6,0.5403,53.6,52.3,14.1,15.9,26.5,29.7,34.5,23,51.3,51.4,37.8,35.9,41.9,33.8,67.2,-3.8
149,Toledo,MAC,14,8-6,114.4,113.1,0.535,54.6,53,14.9,17.4,30.2,34.5,35.5,29.2,53.8,52.4,37.6,35.9,31.6,39.2,68.5,-3.8
222,Ohio,MAC,15,9-6,106.6,110.7,0.3946,51.9,52.2,15.8,17.5,27.5,30.9,39.3,41.5,55.6,50.8,30.7,37,38.7,31.1,69.8,-3.8
269,Morehead St.,OVC,18,13-5,108.8,118.2,0.2789,51.9,48.9,17.8,15.4,37.7,33.7,39.2,37,52.5,47.2,33.6,34.5,29.1,37.4,65.2,-3.9
105,Washington St.,WCC,16,7-9,118,111.5,0.6577,56.3,53.2,18.7,14.3,30.7,30.3,31.1,31.1,54.8,51.6,38.7,37.4,45.3,36.1,68.3,-4
153,Fordham,A10,15,7-8,103.7,102.8,0.5254,46.8,51.8,17.8,17.4,34.6,26.8,28.5,35.5,50,50.2,27.8,36.1,38.6,41,64.3,-4
197,Marshall,SB,16,10-6,113.5,115.7,0.4465,54.7,50.4,14.9,17.1,31.5,33.9,29.4,42.8,52.6,50.8,38.1,33.2,44.3,41.8,70.1,-4
246,Southeast Missouri St.,OVC,18,13-5,101.2,107.4,0.3361,50.7,46.2,17.5,17.8,31,27.2,43.5,43.2,52.1,45.1,32.2,32.3,36.9,33.1,69,-4
123,Wyoming,MWC,16,6-10,113.5,109.2,0.6091,49.3,55.3,17.2,15.9,33.1,27.9,36.9,44.9,51.3,56,31.3,36,47.1,36.3,65.7,-4.1
131,Pittsburgh,ACC,14,3-11,110.3,106.6,0.5972,48.2,56.4,17.1,15.7,32.3,29.1,28.3,31.4,49.9,59,30.6,35.4,44.2,43.9,64.4,-4.1
266,Colgate,Pat,16,11-5,106.1,115,0.2834,53.3,52.2,14.7,15.9,29,25.2,35.5,35.2,52.5,50.8,36.6,36,35.1,43.6,67.9,-4.1
91,Northern Iowa,MVC,18,10-8,106.6,99.2,0.6953,53.4,49.2,15.4,16.9,22.8,23.8,23.2,27.1,56,53.2,33,28.9,39.4,40.6,62.6,-4.2
92,LSU,SEC,14,2-12,115.5,107.6,0.6934,48.8,54.3,15.4,14.2,32.4,35.9,36.5,44.2,49,52.9,32.2,37.7,33.5,37.9,65.8,-4.2
172,Troy,SB,16,10-6,109.2,109.6,0.491,50.7,49.7,15.7,16.8,34.9,30.9,32.8,31.4,52.5,52.2,32.5,30.6,47.9,39.8,65.4,-4.2
208,Stony Brook,CAA,15,9-6,106.8,109.7,0.4238,52.2,49.9,16.6,16.6,28.6,32.6,29.7,29.8,50.1,46.8,36.3,36.4,48.3,39.7,66.3,-4.2
225,Dartmouth,Ivy,11,5-6,106.2,110.5,0.387,52.3,52,15.8,13.1,21.3,28.3,34.6,30.3,51.7,51.2,35.2,35.5,48.5,39.7,69.2,-4.2
257,Tennessee St.,OVC,18,13-5,109.9,118.4,0.2978,52.4,52.6,14.6,19.7,34.1,31.2,34.3,39.7,52.3,51.9,35.3,35.9,29,35.3,70.7,-4.2
73,George Washington,A10,14,6-8,118.9,108.1,0.7503,54.2,52.7,17.9,16.9,36.7,30.5,26.8,34.8,54.7,53.5,35.8,34.4,50.8,42.8,68.8,-4.3
119,Kansas St.,B12,14,2-12,110.6,105.8,0.6237,49.6,53.7,17.1,16.6,26.4,38.3,21.2,37.6,49.5,54.8,33.2,34.6,40.9,36.3,72.2,-4.3
148,Appalachian St.,SB,17,11-6,107.3,105.9,0.5381,51.2,47.1,14.9,13.5,32.4,25.2,39.7,28.9,54.4,44.9,31.8,33.3,47.8,42.4,63.8,-4.3
170,Cornell,Ivy,11,5-6,118.4,118.6,0.495,56.4,55.9,15.3,14.9,31.5,29.8,30.4,37.8,59.7,55,35.2,38.1,47.6,39.3,70.9,-4.3
203,Western Kentucky,CUSA,16,9-7,105.9,108.3,0.4357,45.5,51.2,14.7,17.5,34.4,30,36.2,49.5,42.6,51,32.9,34.3,43.7,41,69.1,-4.3
207,Cal St. Fullerton,BW,17,10-7,107.1,109.9,0.4249,52.1,54.8,15.5,21.3,24.1,29,39.4,34.2,51.4,57.9,35.4,34.3,42.1,48.1,72.2,-4.3
247,Southern,SWAC,14,9-5,104.7,111.1,0.336,50.2,51.1,16.3,20.7,32,27.8,47.2,43.8,51.6,50.8,31.7,34.4,33.3,37.5,69.7,-4.3
88,Utah,B12,14,2-12,114.8,106.5,0.7014,49.6,54.2,16.2,12.8,29.3,32.6,27.2,28.4,48.8,56.1,34,33.8,35.8,34.5,66.1,-4.4
89,Pacific,WCC,17,8-9,111.8,103.9,0.7003,52.9,50.5,20.1,14.6,35.4,23.8,29.3,34,49.6,48.6,39.6,35.3,34.3,43.2,64.9,-4.4
96,Notre Dame,ACC,14,3-11,114.4,107.2,0.6774,50.2,53.3,16.3,13.2,31.7,28.6,32.7,34.7,50.2,57.1,33.5,32.9,44,49.5,66.1,-4.4
112,UC Santa Barbara,BW,17,10-7,117.6,111.8,0.641,56.5,53,18.1,16.8,31.2,25.9,38.9,42.8,55.5,53.8,38.4,34.3,46.3,36.3,65.2,-4.4
150,UC Davis,BW,17,10-7,108,106.8,0.5325,51.4,52.7,17.2,19.9,27.1,28.3,42.5,39.5,48.3,54.1,37,33.8,42.5,39.6,69.2,-4.4
151,Rhode Island,A10,14,6-8,104.7,103.6,0.5281,48.5,53.1,18.3,21.1,28.6,29.4,42.3,47.3,50.2,50.4,30.8,37.9,43.5,42.1,65.8,-4.4
162,San Francisco,WCC,17,7-10,110.6,110.3,0.5087,49.1,53.2,16,12.9,29.8,25.6,38,26.9,48.3,52.5,33.3,36.3,44.4,35.6,67,-4.4
205,Saint Peter's,MAAC,18,12-6,104.1,106.8,0.4285,46.8,45.8,17.1,19.6,38.9,32.5,38.4,44.7,47,45.9,31,30.4,36.8,34.4,66.3,-4.4
210,Radford,BSth,14,8-6,108.8,111.8,0.4226,53,53.3,17.3,17.7,30,29.4,43.4,37.1,53.5,54.2,34.9,34.6,42.3,37.3,70.3,-4.4
113,Illinois St.,MVC,18,10-8,107.2,102.1,0.6365,53.1,49.4,17.7,16.7,27.7,23.9,27.6,33.5,54,49.5,34.6,32.8,41.9,32.4,67.5,-4.5
126,UT Rio Grande Valley,Slnd,19,12-7,111.9,107.8,0.6038,55.1,47.7,17.8,16.3,30.5,32.7,31.3,38.9,55.3,48,36.5,31.5,45,37.3,67.1,-4.5
157,UC San Diego,BW,16,9-7,103.6,102.8,0.5229,49.6,47.7,17.6,15.8,26,26.5,31,30.5,51.9,46.7,31,32.7,42.7,40.8,67.8,-4.5
161,Siena,MAAC,18,12-6,111.8,111.4,0.5098,53.8,48.5,15.4,15.4,32.2,29.2,30.9,27.4,55.8,46.5,33.3,34,33.7,43.4,64.6,-4.5
314,UMass Lowell,AE,13,8-5,103.3,116.9,0.1941,51.8,51,16.3,13.4,34.5,23.4,35.1,25.5,52.5,53.1,33.3,31.3,29.5,34.4,69.5,-4.5
108,Fresno St.,MWC,16,6-10,108.1,102.5,0.6471,50.3,52,18,18,27.9,29.7,37,29.2,51.1,55.9,32.8,31.4,40.6,44.5,69.2,-4.6
118,Oregon,B10,16,3-13,110.2,105.4,0.6238,47.9,53,18.4,15.6,29.6,34.7,34.5,36.1,49.6,52.1,30.4,36.3,42.5,40.7,64.8,-4.6
173,Robert Morris,Horz,18,11-7,111.4,111.7,0.4906,55.8,52.7,17.9,16.2,37.5,26.4,28,41.2,53.9,53.6,39,34.1,40.4,37.3,66.2,-4.6
342,South Carolina St.,MEAC,10,5-5,95.5,113.9,0.1167,51.1,51.1,22,20.7,30.6,31,44.2,55.2,49.5,51.4,35.8,33.7,36.2,35.2,68.4,-4.6
352,North Carolina Central,MEAC,11,6-5,102.6,125,0.0937,52.4,53.6,17.7,20.4,32.1,38.5,38.6,32.1,52.2,52.6,35.1,37,33.4,35.9,66,-4.6
167,Temple,Amer,14,7-7,108.1,108,0.5007,46.8,48.4,14.3,16.2,33.3,31.9,38.7,41.2,47.6,50.8,30.3,28.8,36.1,31.2,65,-4.7
188,Monmouth,CAA,15,8-7,103.8,105.2,0.4604,48.5,48.7,16.8,20,31.4,32.5,32.1,35.6,46.9,48,34.4,33.1,35.4,39.4,68.1,-4.7
195,Oakland,Horz,18,11-7,112.8,114.8,0.4504,52.8,52.9,14.8,15.8,34.6,35.1,42.7,21.1,53.8,55.3,34,33.2,34.4,43.4,70.1,-4.7
221,Mercer,SC,16,10-6,111.9,116,0.3976,54.4,53.2,15.1,16.5,35.8,30,41.4,29.8,53.8,50.6,36.8,37.6,39.5,44.7,69.6,-4.7
250,Wofford,SC,16,10-6,112.3,119.5,0.3283,55.8,55.1,12.8,14.7,28,28.7,35.6,37,55,53.4,38,38.4,42.3,40.3,68.7,-4.7
110,Florida Atlantic,Amer,15,7-8,108.6,103.2,0.6429,51.7,47.4,17.6,15.5,31.3,28.6,32.5,36.6,54.5,46.3,31.5,32.8,38.1,36.7,71.3,-4.8
193,Weber St.,BSky,16,9-7,112.2,114.1,0.4524,51.8,56.5,14.1,16.7,31.7,25.8,42,35.7,50.8,57.9,36,36.3,32.6,40.2,68.8,-4.8
80,Marquette,BE,16,4-12,113.9,104.5,0.7288,51.7,51.7,16.1,17.5,27.9,37,29,32.6,53,52,33.2,34.2,40.2,39.1,69,-4.9
98,Seattle,WCC,16,6-10,99.5,93.4,0.6725,45.5,47.9,16.5,20.5,23.1,31.2,30.9,35.5,44.5,48.4,31.2,31.3,40.8,36.7,68.4,-4.9
146,North Texas,Amer,15,7-8,103.7,102.2,0.5418,44.7,50.1,16.6,22.1,36.5,33.3,39.3,42.4,47.1,50.7,26,32.8,28.9,36.7,66.1,-4.9
155,Montana,BSky,15,8-7,107.4,106.5,0.5253,57,51.4,19.1,15.7,21.4,27.4,35.5,33.9,58,50.2,37,35.5,40.5,40,68.8,-4.9
179,Drexel,CAA,16,9-7,102,102.5,0.4836,52,44.8,18.9,15,28,30.7,31.6,33.1,51.9,45.5,34.8,29,39.6,34.7,64.7,-4.9
199,Detroit Mercy,Horz,18,11-7,109.4,111.6,0.4433,51.8,51.4,15.9,13.9,34.2,30.1,34.3,35.8,47.7,53.3,40.9,32.6,29.8,42.9,69.1,-4.9
236,Tennessee Martin,OVC,18,12-6,100.4,105.5,0.3609,49,44.5,20.8,20.4,40.4,32.8,36.5,34.2,51.7,44.4,30.5,29.8,46.1,39.6,64.9,-5
244,Texas St.,SB,17,10-7,105.4,111.7,0.3383,50,53.8,17.3,17.8,33.6,27,34.4,39.4,51.2,53,31,36.7,25.7,38.3,67.3,-5
165,Northern Colorado,BSky,15,8-7,110.7,110.6,0.5031,55.1,50.1,15.6,12.5,28.6,23.8,25.7,43.3,57.1,50.6,34.9,32.7,41.9,37,69.6,-5.1
293,Alabama A&M,SWAC,15,9-6,104.6,115.7,0.2396,50.8,50.7,17.2,17.1,29.1,30,48.4,35.9,51.2,48.6,33.3,36.2,34,36.4,66.2,-5.1
144,Penn St.,B10,17,2-15,115,113.2,0.5462,50.5,61.2,16.3,16.3,25.4,32.7,31.4,30.9,55.1,60.8,29,41.1,39.6,44.8,68.5,-5.2
194,Denver,Sum,15,8-7,116,118,0.4506,54.9,53,12.5,11.8,30.5,28.9,30.5,36.6,53.2,55.4,38.3,32.5,39,36.4,68,-5.2
291,Central Connecticut,NEC,16,10-6,108,119.3,0.2408,53.3,49.7,16.9,13.6,28.2,31.8,32.2,27.8,52.8,49.6,36.1,33.2,36.9,40,65,-5.2
297,Arkansas Pine Bluff,SWAC,15,9-6,106.3,117.7,0.2369,53.3,50.1,18.3,17.1,28.6,33.7,45.4,42.1,51.4,53.9,37.7,28.4,38,34.1,67.1,-5.2
323,Jackson St.,SWAC,14,8-6,104.2,119.1,0.1781,49,49.2,17.7,15.7,31.8,34.2,42.9,43.7,49.3,50.5,32.4,31.5,41.8,37.5,70.9,-5.2
124,Boston College,ACC,14,2-12,106.2,102.2,0.6085,47.4,53,15.6,14.4,25.7,29.4,28.1,37.9,47.4,54,31.7,34.2,39.5,38.8,65.8,-5.3
183,Arkansas St.,SB,16,9-7,111.4,112.2,0.4786,52.9,50.7,19.6,14.4,39.9,26.2,39.3,35,53.2,50.4,35.1,34.1,45.9,39.2,71.8,-5.3
248,UNC Asheville,BSth,14,7-7,103.4,109.9,0.3328,49.6,50.6,14.9,16.8,32,30.7,37.6,40.3,48.3,51.6,34.7,32.7,33.2,40.2,65.2,-5.3
254,Princeton,Ivy,11,4-7,110,117.6,0.3164,50.3,53.3,14.1,13.6,31,34,37.2,27.5,49.4,54.9,34.4,33.9,40.8,40,61.8,-5.3
256,Columbia,Ivy,11,4-7,107.4,115.5,0.3013,52.3,54,18.6,13.8,34.2,29.8,31.4,32.9,52.9,51.5,34.3,38.8,37.3,37.4,66.4,-5.3
164,Jacksonville St.,CUSA,16,8-8,108.3,108.1,0.5036,51.6,49.8,17.8,16.5,29.2,30.3,47,36.3,48.9,50.8,37.4,32.4,37.4,43.5,66.1,-5.4
180,Kennesaw St.,CUSA,16,8-8,109.2,109.8,0.4833,49.1,49.5,15.8,16,34.9,32.2,41.3,45.2,47.7,47.7,33.9,35,46.4,37.8,71,-5.4
212,Marist,MAAC,19,12-7,98.5,101.3,0.4195,49.3,45.5,16.1,19,27.3,28,25.7,36.5,50.6,47.5,31.3,27.9,34.8,35.4,66.9,-5.4
219,Quinnipiac,MAAC,18,11-7,102.3,105.9,0.4001,48.4,47.9,15.9,17.6,36,29.4,31.9,31.3,46.8,45.2,34.5,35,33.6,35.9,70,-5.4
229,Coastal Carolina,SB,16,9-7,102.6,107.2,0.3754,48.5,47.4,16.5,12,28.2,26.4,35.5,31.3,47.4,45.5,33.3,34,43.6,34.3,67.1,-5.4
233,Cal Poly,BW,16,8-8,109,114.1,0.3718,53.6,53.7,20,17.5,29,32.8,34.8,31,57.4,53.9,33.6,35.6,55.4,39.6,72.8,-5.4
252,Louisiana Tech,CUSA,16,8-8,100.5,107,0.3253,46.5,50.4,18.7,17.7,35,32.3,36.9,36,47.9,45.6,29.2,37.4,33.3,45.8,65.4,-5.4
141,Bowling Green,MAC,15,7-8,107.4,105.4,0.5547,52.8,52,17,17,27.8,26.5,36.6,36.5,52.1,52.3,36.1,34.5,32.1,43.5,68.5,-5.5
182,Georgia Tech,ACC,15,2-13,107.6,108.2,0.4824,49.4,53.4,18.3,15.1,27.4,32.5,30.6,36,47.3,51.2,35.9,37.3,32.1,45.4,72.4,-5.5
187,UT Arlington,WAC,15,7-8,103.7,105,0.464,47.8,48.3,20.3,17.4,35.1,31.3,44,40.5,49,50.5,30,28.9,30.8,30.4,65.9,-5.5
223,Samford,SC,16,9-7,110,114.4,0.3898,55.3,51.2,12.3,12,24.6,23.2,45.6,34.8,55,51.3,37.1,34,43.5,35.9,67.9,-5.5
171,Green Bay,Horz,19,11-8,112.8,113.1,0.4912,56.6,52.1,17.1,14.3,27,30.2,41.6,37,55.1,50.8,39.5,35.9,36.4,44.4,63.8,-5.6
206,New Orleans,Slnd,19,11-8,110.2,113,0.4275,51.8,48.2,19.9,15.6,36.5,35.2,50.8,38.8,53,47,32.8,33.3,31.9,40.4,70.7,-5.6
278,Purdue Fort Wayne,Horz,18,10-8,104,113.6,0.2648,54.3,55,14.2,18.6,21.2,34.6,32.3,29,52.9,54.4,37.3,37.1,46.2,44.4,68.3,-5.6
196,Furman,SC,16,9-7,104.8,106.7,0.4496,54,47.7,17.4,13.7,30.8,28.7,30.6,29.8,58,46.7,33,32.7,47.3,41.9,66,-5.7
