Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
25,Cincinnati,B12,14,7-7,115.3,93.7,0.916,50.1,49.5,16.8,16.8,30.9,30.6,26.7,27.4,50,49.3,33.4,33.2,40.2,38.2,66.6,+0.38
75,West Virginia,B12,14,7-7,107.5,98,0.742,49.6,50.3,18.9,15.9,27.6,29.7,29.9,27.4,52.6,47.1,30.4,36.4,43.4,42.4,62.3,+0.5
72,Belmont,MVC,18,15-3,122,110.8,0.7522,60.7,52.1,17.7,17.3,28.9,31.1,34.9,30.8,60.7,48.9,40.4,37,44.8,48.4,69.1,+0.6
39,New Mexico,MWC,16,12-4,118.1,99.5,0.8785,55.6,48.8,14.6,18.6,28.9,26.7,33.5,32,53.2,52.8,39.3,29.4,41.3,45.5,70.7,+0.7
46,Georgia,SEC,14,7-7,123.2,105.8,0.8521,51.7,54,13.8,16.9,33.4,40.4,31.8,32.2,52.3,54.7,33.9,35.3,41.9,38.2,69.2,+0.7
29,SMU,ACC,14,8-6,128.8,106.2,0.9016,57.5,53.1,15.5,15.3,32.7,32.2,28.2,30.4,55.1,53.3,41.3,35.3,35.6,50.3,69.1,+0.9
35,Indiana,B10,16,8-8,125,104.4,0.8875,56.1,52.7,14,14.1,24.3,31.8,31.8,37.9,60.2,54.3,34.8,33.5,51.3,40.3,66,+0.9
36,San Diego St.,MWC,16,12-4,110.8,92.6,0.8865,52.9,46.3,16.7,21.7,28.9,28,36.4,38.1,53.9,44.8,33.8,31.9,32.7,49.8,69.9,+0.9
56,Akron,MAC,14,13-1,116.6,103.5,0.7979,56.4,49.5,16.5,18.8,34,28.9,26.7,31.4,58.8,48.4,35.8,34.1,47.1,40.4,70.4,+0.9
34,Clemson,ACC,15,10-5,114.5,95.5,0.8897,53.4,50.1,15.9,18.8,24.8,24.7,34.8,34.3,55.1,47.6,34.1,35.8,43.7,40.9,64,+1.1
41,Texas,SEC,14,8-6,128,108,0.8756,56.2,52.9,15.5,12.3,36.3,29.9,44.6,43.3,56.9,51.8,36.6,36.6,35.5,35.4,65.5,+1.1
53,VCU,A10,15,12-3,119.6,105.3,0.8133,53,51,14.9,16.1,31.3,28.4,47.6,33.3,53.5,51.6,34.9,33.2,43.1,34.7,69.5,+1.1
