Matchup,Market_Odds
North Carolina Central Eagles vs Maryland Eastern Shore Hawks,Over 128.5
Charleston Southern Buccaneers vs Gardner-Webb Runnin´ Bulldogs,Over 151.5
Coppin State Eagles vs Howard Bison,Over 139.5
Alabama State Hornets vs Florida A&M Rattlers,Over 137.5
Holy Cross Crusaders vs Boston University Terriers,Over 131.5
Lamar Cardinals vs SE Louisiana Lions,Over 126.5
North Carolina Tar Heels vs Syracuse Orange,Over 149.5
Northwestern State Demons vs Nicholls State Colonels,Over 139.5
SFA Lumberjacks vs McNeese Cowboys,Over 135.5
Texas A&M–Commerce Lions vs New Orleans Privateers,Over 143.5
Texas Rio Grande Valley Vaqueros vs Houston Christian Huskies,Over 131.5
Alabama A&M Bulldogs vs Bethune-Cookman Wildcats,Over 134.5
Alcorn State Braves vs Grambling State Tigers,Over 136.5
Jackson State Tigers vs Southern University Jaguars,Over 145.5
Tennessee State Tigers vs Tennessee Tech Golden Eagles,Over 145.5
Texas A&M-Corpus Christi Islanders vs Incarnate Word Cardinals,Over 130.5
Texas Tech Red Raiders vs Kansas Jayhawks,Over 147.5
Portland State Vikings vs Idaho State Bengals,Over 130.5
Sacramento State Hornets vs Weber State Wildcats,Over 158.5
